set;id;numero;nome;url;pagina;status;erro
smp;smp-SM140;SM140;Salamence;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_140_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/140;baixado;
smp;smp-SM141;SM141;Kyurem Branco GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_141_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/141;baixado;
smp;smp-SM142;SM142;Kyurem;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_142_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/142;baixado;
smp;smp-SM143;SM143;Moltres;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_143_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/143;baixado;
smp;smp-SM144;SM144;Articuno;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_144_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/144;baixado;
smp;smp-SM145;SM145;Zapdos;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_145_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/145;baixado;
smp;smp-SM146;SM146;Leafeon GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_146_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/146;baixado;
smp;smp-SM147;SM147;Glaceon GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_147_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/147;baixado;
smp;smp-SM148;SM148;Festival dos Campeões;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_148_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/148;baixado;
smp;smp-SM149;SM149;Suicune;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_149_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/149;baixado;
smp;smp-SM15;SM15;Zygarde;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_015_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/15;baixado;
smp;smp-SM150;SM150;Raikou;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_150_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/150;baixado;
smp;smp-SM151;SM151;Giratina;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_151_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/151;baixado;
smp;smp-SM152;SM152;Tapu Lele;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_152_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/152;baixado;
smp;smp-SM153;SM153;Rowlet;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_153_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/153;baixado;
smp;smp-SM154;SM154;Salandit;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_154_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/154;baixado;
smp;smp-SM155;SM155;Kingdra GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_155_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/155;baixado;
smp;smp-SM156;SM156;Dragonite GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_156_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/156;baixado;
smp;smp-SM157;SM157;Pikachu;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_157_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/157;baixado;
smp;smp-SM158;SM158;Charizard;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_158_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/158;baixado;
smp;smp-SM159;SM159;Zapdos;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_159_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/159;baixado;
smp;smp-SM16;SM16;Solgaleo GX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_016_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/16;baixado;
smp;smp-SM160;SM160;Nidoqueen;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_160_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/160;baixado;
smp;smp-SM161;SM161;Jirachi;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_161_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/161;baixado;
smp;smp-SM162;SM162;Pikachu;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_162_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/162;baixado;
smp;smp-SM163;SM163;Mimikyu;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_163_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/163;baixado;
smp;smp-SM164;SM164;Deoxys;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_164_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/164;baixado;
smp;smp-SM165;SM165;Ultra Necrozma;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SMP/SMP_165_R_PT.png;https://limitlesstcg.com/cards/pt/SMP/165;baixado;
