set;id;numero;nome;url;pagina;status;erro
swshp;swshp-SWSH061;SWSH061;Pikachu V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_061_R_PT.png;https://limitlesstcg.com/cards/pt/SP/61;ja_existia;
swshp;swshp-SWSH062;SWSH062;Pikachu VMAX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_062_R_PT.png;https://limitlesstcg.com/cards/pt/SP/62;ja_existia;
swshp;swshp-SWSH063;SWSH063;Pikachu V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_063_R_PT.png;https://limitlesstcg.com/cards/pt/SP/63;ja_existia;
swshp;swshp-SWSH064;SWSH064;Eternatus V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_064_R_PT.png;https://limitlesstcg.com/cards/pt/SP/64;ja_existia;
swshp;swshp-SWSH065;SWSH065;Eevee V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_065_R_PT.png;https://limitlesstcg.com/cards/pt/SP/65;ja_existia;
swshp;swshp-SWSH066;SWSH066;Charizard;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_066_R_PT.png;https://limitlesstcg.com/cards/pt/SP/66;ja_existia;
swshp;swshp-SWSH067;SWSH067;Donphan;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_067_R_PT.png;https://limitlesstcg.com/cards/pt/SP/67;ja_existia;
swshp;swshp-SWSH068;SWSH068;Snorlax;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_068_R_PT.png;https://limitlesstcg.com/cards/pt/SP/68;ja_existia;
swshp;swshp-SWSH069;SWSH069;Lugia;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_069_R_PT.png;https://limitlesstcg.com/cards/pt/SP/69;ja_existia;
swshp;swshp-SWSH070;SWSH070;Grookey;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_070_R_PT.png;https://limitlesstcg.com/cards/pt/SP/70;ja_existia;
swshp;swshp-SWSH071;SWSH071;Scorbunny;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_071_R_PT.png;https://limitlesstcg.com/cards/pt/SP/71;ja_existia;
swshp;swshp-SWSH072;SWSH072;Vaporeon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_072_R_PT.png;https://limitlesstcg.com/cards/pt/SP/72;ja_existia;
swshp;swshp-SWSH073;SWSH073;Sobble;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_073_R_PT.png;https://limitlesstcg.com/cards/pt/SP/73;ja_existia;
swshp;swshp-SWSH074;SWSH074;Special Delivery Pikachu;;;sem_correspondencia;
swshp;swshp-SWSH076;SWSH076;Zacian V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_076_R_PT.png;https://limitlesstcg.com/cards/pt/SP/76;ja_existia;
swshp;swshp-SWSH077;SWSH077;Zamazenta V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_077_R_PT.png;https://limitlesstcg.com/cards/pt/SP/77;ja_existia;
swshp;swshp-SWSH078;SWSH078;Orbeetle V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_078_R_PT.png;https://limitlesstcg.com/cards/pt/SP/78;ja_existia;
swshp;swshp-SWSH079;SWSH079;Mr. Rime de Galar;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_079_R_PT.png;https://limitlesstcg.com/cards/pt/SP/79;ja_existia;
swshp;swshp-SWSH080;SWSH080;Dedenne;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_080_R_PT.png;https://limitlesstcg.com/cards/pt/SP/80;ja_existia;
swshp;swshp-SWSH081;SWSH081;Polteageist;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_081_R_PT.png;https://limitlesstcg.com/cards/pt/SP/81;ja_existia;
swshp;swshp-SWSH082;SWSH082;Bunnelby;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_082_R_PT.png;https://limitlesstcg.com/cards/pt/SP/82;ja_existia;
swshp;swshp-SWSH083;SWSH083;Alakazam V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_083_R_PT.png;https://limitlesstcg.com/cards/pt/SP/83;ja_existia;
swshp;swshp-SWSH084;SWSH084;Eldegoss V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_084_R_PT.png;https://limitlesstcg.com/cards/pt/SP/84;ja_existia;
swshp;swshp-SWSH085;SWSH085;Boltund V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_085_R_PT.png;https://limitlesstcg.com/cards/pt/SP/85;ja_existia;
swshp;swshp-SWSH086;SWSH086;Cramorant V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_086_R_PT.png;https://limitlesstcg.com/cards/pt/SP/86;ja_existia;
swshp;swshp-SWSH087;SWSH087;Eevee VMAX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_087_R_PT.png;https://limitlesstcg.com/cards/pt/SP/87;ja_existia;
swshp;swshp-SWSH088;SWSH088;Cherrim;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_088_R_PT.png;https://limitlesstcg.com/cards/pt/SP/88;ja_existia;
swshp;swshp-SWSH089;SWSH089;Octillery;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_089_R_PT.png;https://limitlesstcg.com/cards/pt/SP/89;ja_existia;
swshp;swshp-SWSH090;SWSH090;Houndoom;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_090_R_PT.png;https://limitlesstcg.com/cards/pt/SP/90;ja_existia;
swshp;swshp-SWSH091;SWSH091;Bronzong;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_091_R_PT.png;https://limitlesstcg.com/cards/pt/SP/91;ja_existia;
swshp;swshp-SWSH092;SWSH092;Charmander;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_092_R_PT.png;https://limitlesstcg.com/cards/pt/SP/92;ja_existia;
swshp;swshp-SWSH093;SWSH093;Arrokuda;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_093_R_PT.png;https://limitlesstcg.com/cards/pt/SP/93;ja_existia;
swshp;swshp-SWSH094;SWSH094;Jolteon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_094_R_PT.png;https://limitlesstcg.com/cards/pt/SP/94;ja_existia;
swshp;swshp-SWSH095;SWSH095;Eevee;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_095_R_PT.png;https://limitlesstcg.com/cards/pt/SP/95;ja_existia;
swshp;swshp-SWSH096;SWSH096;Dragapult V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_096_R_PT.png;https://limitlesstcg.com/cards/pt/SP/96;ja_existia;
swshp;swshp-SWSH097;SWSH097;Dragapult VMAX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_097_R_PT.png;https://limitlesstcg.com/cards/pt/SP/97;ja_existia;
swshp;swshp-SWSH098;SWSH098;Crobat V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_098_R_PT.png;https://limitlesstcg.com/cards/pt/SP/98;ja_existia;
swshp;swshp-SWSH099;SWSH099;Crobat VMAX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_099_R_PT.png;https://limitlesstcg.com/cards/pt/SP/99;ja_existia;
swshp;swshp-SWSH100;SWSH100;Venusaur V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_100_R_PT.png;https://limitlesstcg.com/cards/pt/SP/100;ja_existia;
swshp;swshp-SWSH101;SWSH101;Blastoise V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_101_R_PT.png;https://limitlesstcg.com/cards/pt/SP/101;ja_existia;
swshp;swshp-SWSH102;SWSH102;Venusaur VMAX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_102_R_PT.png;https://limitlesstcg.com/cards/pt/SP/102;ja_existia;
swshp;swshp-SWSH103;SWSH103;Blastoise VMAX;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_103_R_PT.png;https://limitlesstcg.com/cards/pt/SP/103;ja_existia;
swshp;swshp-SWSH104;SWSH104;Victini V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_104_R_PT.png;https://limitlesstcg.com/cards/pt/SP/104;ja_existia;
swshp;swshp-SWSH105;SWSH105;Gardevoir V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_105_R_PT.png;https://limitlesstcg.com/cards/pt/SP/105;ja_existia;
swshp;swshp-SWSH106;SWSH106;Urshifu Golpe Decisivo V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_106_R_PT.png;https://limitlesstcg.com/cards/pt/SP/106;ja_existia;
swshp;swshp-SWSH107;SWSH107;Urshifu Golpe Fluido V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_107_R_PT.png;https://limitlesstcg.com/cards/pt/SP/107;ja_existia;
swshp;swshp-SWSH108;SWSH108;Empoleon V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_108_R_PT.png;https://limitlesstcg.com/cards/pt/SP/108;ja_existia;
swshp;swshp-SWSH109;SWSH109;Tyranitar V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_109_R_PT.png;https://limitlesstcg.com/cards/pt/SP/109;ja_existia;
swshp;swshp-SWSH110;SWSH110;Crobat V;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SP/SP_110_R_PT.png;https://limitlesstcg.com/cards/pt/SP/110;ja_existia;
